"Folder","Test Title","Pre-condition","Steps","Expected","Priority","Test Data","AT Status","QA Responsibility"
"PDT-3418/UC1a","[EC-UC1a-011] [Video player] Verify an active Live stream shows no +/-10s seek controls (contrast)","- an active Live stream is playing with the controls overlay visible
- SDK stream type mocked = Live","1. Mock: SDK stream type = Live
2. Reveal the overlay and tap the central pause button
3. Assert: neither the -10s nor the +10s skip button is rendered (seek is gated to video/recorded)","Contrast: on an active Live stream the +/-10s seek controls are NOT shown — proving the seek gate is stream-type driven; seek exists only on video/recorded (BR-01, TC-UC1a-01c).","P1","surface: community feed
platform: mobile (iOS)
stream_type: Live
play_state: playing -> paused
overlay: visible","cannot automated","QA (manual — live-broadcast)"
"PDT-3418/UC1a","[EC-UC1a-012] [Video player] Verify a paused overlay never auto-dismisses on the 1s idle timer","- a video / recorded LS is paused with the controls overlay (play icon) visible
- no further user interaction occurs","1. Pause the media so the overlay shows the PLAY icon
2. Advance >1000ms (to 1500ms) with no interaction
3. Assert: the overlay still persists — the paused branch has no idle timeout (does not auto-dismiss at 1s)","A paused overlay must NOT auto-dismiss on the 1s idle timer — the paused branch has no idle timeout, so it persists until a tap-outside (BR-11).","P1","surface: community feed
platform: mobile (iOS)
stream_type: video
play_state: paused
overlay: visible
elapsed_ms: 1500
clock: fake-timers / Playwright clock","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-013] [Video player] Verify tap-outside while paused never resumes playback","- a video / recorded LS is paused with the controls overlay visible
- the central button's rendered hit-target is 64x64px (FU-2 resolved)","1. With the media paused and the overlay visible, tap outside the 64x64px central button
2. Assert: the overlay is dismissed
3. Assert: video.paused is still true — the media did not resume (the dismiss is not an implicit play)","A tap-outside while paused must never resume playback — the dismiss is not an implicit play; the media stays paused (BR-10).","P1","surface: community feed
platform: mobile (iOS)
stream_type: video
play_state: paused
overlay: visible
hit_target: 64x64px
tap_location: outside the central button","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-014] [Video player] Verify tap play resumes a paused video from the exact position (0:42)","- a video is paused at a known position (t=42s) on a known-length local fixture
- the central play button is displayed","1. With the video paused at 0:42, tap the central play button
2. Assert: playback resumes from currentTime === 0:42 (not 0:00, not the live edge)
3. Assert: the icon switched play -> pause","Tapping the central play button on a paused video resumes playback from the exact paused position (t=42s -> resumes at 42s, not 0 and not the live edge); the icon switches play -> pause.","P1","surface: community feed
platform: mobile (iOS)
stream_type: video
play_state: paused
position: 0:42
duration: 3:00","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-015] [Video player] Verify resume on a Live stream jumps to the live edge (not the paused position)","- a Live stream is paused at t=42s
- SDK stream type mocked = Live","1. Mock: SDK stream type = Live, paused at 0:42
2. Tap the central play button
3. Assert: playback resumes at the current live edge (approx. live within the CONF-07 tolerance), NOT 0:42","On a Live stream, resume goes to the current live edge (approx. live within tolerance), NOT the exact paused position — a media-type contrast (BR-13; cross-ref UC2 CONF-07 tolerance).","P1","surface: community feed
platform: mobile (iOS)
stream_type: Live
play_state: paused
position: 0:42
tolerance: UC2 CONF-07","cannot automated","QA (manual — live-broadcast)"
"PDT-3418/UC1a","[EC-UC1a-016] [Video player] Observe recorded-LS resume position (ASSUME-recorded-resume — do NOT assert)","- a recorded LS is paused at t=42s
- SDK stream type mocked = recorded LS","1. Mock: SDK stream type = recorded LS, paused at 0:42
2. Tap the central play button
3. Observe and record the resume position (screenshot + notes): does it resume at 0:42 like video, or snap to the live edge?","OBSERVE/RECORD ONLY — recorded LS is assumed to resume from the exact paused position (0:42) like video, but this is unconfirmed; do NOT assert until Engineering closes ASSUME-recorded-resume (TC-UC1a-07b). Record whether recorded LS resumes at 0:42 or snaps to the live edge.","P1","surface: community feed
platform: mobile (iOS)
stream_type: recorded LS
play_state: paused
position: 0:42","cannot automated","QA (manual — observe-only)"
"PDT-3418/UC1a","[EC-UC1a-017] [Video player] Verify reveal / dismiss / pause / resume behaviour is identical across all 6 in-scope surfaces","- a video / recorded LS renders on an in-scope surface
- the platform (form factor) is held fixed while the surface varies","1. For each of the 6 surfaces {global feed, user feed, community feed, event-discussion feed, media gallery, fullscreen}: perform reveal, tap-outside dismiss, 1s auto-dismiss, pause, resume; record the outcomes
2. Assert: on every surface the outcomes are identical — the overlay reveals and playback continues the same way (surface-invariant)","The reveal / tap-outside-dismiss / 1s auto-dismiss / pause / resume behaviours produce identical outcomes across all 6 in-scope surfaces {global, user, community, event-discussion feed, media gallery, fullscreen} (surface-invariant).","P1","surfaces: global feed, user feed, community feed, event-discussion feed, media gallery, fullscreen
platform: mobile (iOS, held fixed)
play_state: playing","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-018] [Video player] Verify no in-scope surface diverges from another (surface-invariance break)","- a video / recorded LS renders on an in-scope surface
- the platform (form factor) is held fixed while the surface varies","1. Run the reveal / dismiss / auto-dismiss / pause / resume flow on all 6 in-scope surfaces with the platform held fixed
2. Compare the outcomes pairwise across surfaces
3. Assert: no surface produces a different outcome than another in-scope surface (any divergence is a BR-06 surface-invariance break)","Any in-scope surface producing a DIFFERENT reveal / dismiss / auto-dismiss / pause / resume outcome than another in-scope surface is a surface-invariance break (BR-06 violation).","P1","surfaces: global feed, user feed, community feed, event-discussion feed, media gallery, fullscreen
platform: mobile (iOS, held fixed)
play_state: playing","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-019] [Video player] Verify no controls overlay before the first tap (default state)","- a video / recorded LS is actively playing on an in-scope surface
- the post has just rendered
- no tap has occurred yet","1. Render the actively-playing post without any tap
2. Assert: no controls overlay element exists in the view hierarchy / DOM
3. Assert: only the media surface is visible","On first render of an actively-playing video/recorded LS on any in-scope surface, with no tap yet, no controls overlay element exists in the view hierarchy / DOM — only the media surface is visible (baseline default state).","P1","surface: community feed
platform: mobile (iOS)
play_state: playing
overlay: not yet revealed
taps: 0","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-020] [Video player] Verify the overlay is never present pre-interaction (baseline default-state guard)","- a video / recorded LS is actively playing on an in-scope surface
- no tap has occurred yet","1. Render the actively-playing post with no tap
2. Assert: no controls-overlay element is present in the view hierarchy / DOM before any tap","The controls overlay must NOT be present before any tap — an overlay element rendered pre-interaction is a baseline default-state failure.","P1","surface: community feed
platform: mobile (iOS)
play_state: playing
overlay: not yet revealed
taps: 0","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-021] [Video player] Verify a control interaction resets the 1s idle countdown","- the controls overlay is visible over a playing video / recorded LS
- the 1s idle countdown is running","1. With the overlay visible over playing media and the 1s countdown running, interact with the scrubber at 800ms
2. Assert: the countdown restarts — the overlay is still visible past the original 1000ms
3. Take no further action; Assert: the overlay auto-dismisses 1000ms after the LAST interaction
4. Assert: playback continues throughout","A control interaction at 800ms restarts the 1s idle countdown — the overlay stays visible through the interaction and auto-dismisses only 1000ms after the LAST interaction; playback continues throughout.","P2","surface: community feed
platform: mobile (iOS)
play_state: playing
overlay: visible
control: scrubber
interaction_at_ms: 800
idle_timer_ms: 1000
clock: fake-timers / Playwright clock","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-022] [Video player] Verify the countdown never ignores a later interaction (must not dismiss on first reveal)","- the controls overlay is visible over a playing video / recorded LS
- the 1s idle countdown is running","1. Reveal the overlay, then interact with a control (scrubber) at 800ms
2. Advance the clock to 1000ms after the FIRST reveal
3. Assert: the overlay is still visible — the timer restarted on the interaction and did NOT dismiss 1000ms after the first reveal","If the overlay dismisses 1000ms after the FIRST reveal — ignoring the later interaction — the countdown-reset failed; the timer must restart on every control interaction, so repeated interactions each less than 1s apart never dismiss the overlay while the user is still interacting (TC-UC1a-02d).","P2","surface: community feed
platform: mobile (iOS)
play_state: playing
overlay: visible
control: scrubber
interaction_at_ms: 800
idle_timer_ms: 1000
clock: fake-timers / Playwright clock","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-023] [Video player] Verify pause tap wins the race against the auto-dismiss timer","- the controls overlay is visible over a playing video / recorded LS
- the 1s idle auto-dismiss timer is about to fire (t approx 999ms)","1. Dispatch a central pause-button tap at ~999ms — the instant the auto-dismiss would fire (fake-timer race)
2. Assert: the explicit pause WINS — video.paused becomes true
3. Assert: the PLAY icon is shown and persists (not swallowed by the expiring timer)
4. Assert: the overlay dismisses only on a subsequent tap-outside, not from the fired timer","When the central pause tap lands at ~999ms as the 1s auto-dismiss is about to fire, the explicit pause wins: the media pauses, the play icon shows and persists (not swallowed by the expiring timer), and the overlay dismisses only on a subsequent tap-outside.","P2","surface: community feed
platform: mobile (iOS)
play_state: playing
overlay: visible
pause_tap_at_ms: 999
idle_timer_ms: 1000
timing: fake-timer race","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-024] [Video player] Verify the expiring 1s timer never swallows the pause","- the controls overlay is visible over a playing video / recorded LS
- the 1s idle auto-dismiss timer is about to fire (t approx 999ms)","1. Dispatch the central pause tap at ~999ms as the 1s timer fires (fake-timer race)
2. Assert: the overlay does NOT auto-dismiss discarding the pause — the paused / play-icon state is retained (video.paused is true) and the media does not stay playing","The expiring 1s timer must not swallow the pause — a race where the overlay auto-dismisses and the paused / play-icon state is lost (or the media stays playing) is the failure mode; a PLAYING overlay would have dismissed on the timer, but once paused the overlay persists (dismisses only via tap-outside).","P2","surface: community feed
platform: mobile (iOS)
play_state: playing
overlay: visible
pause_tap_at_ms: 999
idle_timer_ms: 1000
timing: fake-timer race","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-025] [Video player] Verify tap during buffering reveals the real state, never a false playing icon","- the media is buffering (not yet playing)
- buffering is forced via network throttle / route delay or a state mock","1. Force buffering via network throttle / route delay, then tap the player surface
2. Assert: the controls overlay is visible
3. Assert: the central button reflects the REAL state (loading/paused) — NOT a false 'playing' pause-icon
4. Assert: no crash and no frozen overlay
5. Release the throttle; Assert: once playback starts the icon updates to the playing state","Tapping the player surface while buffering reveals the overlay with the central button reflecting the real state (loading/paused) — never a false 'playing' pause-icon — with no crash and no frozen overlay; once playback starts the icon updates to the playing state.","P2","surface: community feed
platform: mobile (iOS)
play_state: buffering
buffering_source: network throttle / route delay","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-026] [Video player] Verify a mid-playback stall surfaces a loading state (never a silent frozen frame)","- the media was playing, then the network stalls mid-playback
- the stall is injected via network manipulation (mock preferred — flake risk)","1. Start playback, then inject a mid-playback network stall (mock preferred — flake risk)
2. Assert: an explicit loading/stall state is surfaced — the viewer is not left on a silent frozen frame (BR-15)","[AI-INFERRED] A mid-playback stall (was playing, then the network stalls) must surface an explicit loading/stall state — the viewer is never left on a silent frozen frame (BR-15). Extends AC-10's initial-buffer case to a mid-play stall per BR-15 'any interruption' (TC-UC1a-08c); inject via network manipulation — flake risk, mock preferred.","P2","surface: community feed
platform: mobile (iOS)
play_state: playing -> stalled
buffering_source: mid-play network stall (mock preferred)","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-027] [Video player] Verify the central button never shows a false playing icon while buffering","- the media is buffering (not yet playing)
- buffering is forced via network throttle / route delay or a state mock","1. Force buffering, then tap the player surface
2. Assert: the central button never shows a 'playing' pause-icon while buffering — it reflects the real (loading/paused) state","The central button must never show a false 'playing' pause-icon while the media is buffering — it must reflect the real (loading/paused) state.","P2","surface: community feed
platform: mobile (iOS)
play_state: buffering
buffering_source: network throttle / route delay","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-028] [Video player] Verify backgrounding while playing OS-pauses and dismisses the playing overlay on foreground","- iOS
- the controls overlay is visible while the media is PLAYING
- the app is backgrounded
- wall-clock time > 1s passes while backgrounded","1. Background the app with a playing overlay visible
2. Wait > 1s (wall clock)
3. Return the app to the foreground
4. Assert: the OS paused the media on background and does NOT auto-resume (video.paused is true)
5. Assert: the playing overlay is dismissed (its wall-clock 1s idle timer elapsed while backgrounded)
6. Assert: no stale mid-countdown overlay is shown","On returning to the foreground after backgrounding while PLAYING, the OS-paused media does not auto-resume and the playing overlay is dismissed (its wall-clock 1s idle timer elapsed while backgrounded); there is no stale mid-countdown overlay.","P2","surface: community feed
platform: iOS
play_state: playing
overlay: visible
background_wait: > 1s (wall clock)","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-029] [Video player] Verify the media never silently auto-resumes on foreground (playing branch)","- iOS
- the controls overlay was visible while the media was PLAYING
- the app was backgrounded > 1s","1. Background while playing, wait > 1s, return the app to the foreground
2. Assert: video.paused stays true — no silent auto-resume (the OS pause is terminal, BR-10)
3. Assert: no stale mid-countdown overlay is left frozen on screen","The media must not silently auto-resume on foreground — the OS pause is a terminal action, not an implicit app toggle (BR-10); and no stale mid-countdown overlay may be left frozen on screen.","P2","surface: community feed
platform: iOS
play_state: playing
overlay: visible
background_wait: > 1s (wall clock)","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-030] [Video player] Verify backgrounding while paused keeps it paused and persists the paused overlay on foreground","- iOS
- the controls overlay is visible while the media is PAUSED
- the app is backgrounded
- the user then returns the app to the foreground","1. Background the app with a paused overlay visible
2. Return the app to the foreground
3. Assert: the media stays paused (video.paused is true; no auto-resume)
4. Assert: the paused overlay persists (no idle timer to elapse)
5. Assert: no stale mid-countdown overlay is shown","On returning to the foreground after backgrounding while PAUSED, the media stays paused (no auto-resume) and the paused overlay persists (the paused branch has no idle timer to elapse); there is no stale mid-countdown overlay.","P2","surface: community feed
platform: iOS
play_state: paused
overlay: visible","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-031] [Video player] Verify the paused overlay never vanishes and never auto-resumes on foreground (paused branch)","- iOS
- the controls overlay was visible while the media was PAUSED
- the app was backgrounded and then foregrounded","1. Background while paused, return the app to the foreground
2. Assert: video.paused stays true — no auto-resume
3. Assert: the paused overlay is still present (did not vanish) and no stale mid-countdown overlay is shown","The media must not auto-resume and the paused overlay must not vanish on foreground — the paused branch has no idle timer and the OS pause is terminal (BR-11 + BR-10); no stale mid-countdown overlay.","P2","surface: community feed
platform: iOS
play_state: paused
overlay: visible","wait for automated","QA (manual until automated)"
"PDT-3418/UC1b","[EC-UC1b-001] [Live player] Verify first tap on a playing Live stream reveals controls without pausing (mobile)","- a 'Live' stream is playing on a mobile surface
- the controls overlay is hidden","1. Play a Live stream on mobile with the overlay hidden
2. Tap anywhere on the player surface
3. Assert: the controls overlay appears
4. Assert: video.paused === false (still playing)
5. Assert: the central button shows the pause icon","On mobile, the first tap reveals the controls overlay while the Live stream keeps playing (video.paused===false) and the central button shows the pause icon — the tap does not toggle playback.","P1","surface: mobile
play_state: playing
tap: first","cannot automated","QA (manual — live-broadcast)"
"PDT-3418/UC1b","[EC-UC1b-002] [Live player] Verify first tap never pauses the Live stream (accidental-interrupt guard)","- a 'Live' stream is playing on mobile
- overlay hidden","1. Play a Live stream on mobile
2. Tap the player surface once
3. Assert: playback state stays playing (no pause)","The first tap must NOT pause the stream — a reveal that also toggles playback is the accidental-interrupt regression this story exists to prevent.","P1","surface: mobile
play_state: playing
tap: first","cannot automated","QA (manual — live-broadcast)"
"PDT-3418/UC1b","[EC-UC1b-003] [Live player] Verify first tap actually reveals the overlay (no-op is a failure)","- a 'Live' stream is playing on mobile
- overlay hidden","1. Play a Live stream on mobile
2. Tap the player surface once
3. Assert: the controls overlay is now visible","The overlay must actually appear — a first tap that neither reveals nor pauses (a no-op) is a failure.","P1","surface: mobile
play_state: playing
tap: first","cannot automated","QA (manual — live-broadcast)"
"PDT-3418/UC1b","[EC-UC1b-004] [Live player] Verify tap-outside the button dismisses the overlay and keeps playing","- the controls overlay is visible
- the 'Live' stream is playing","1. With the overlay visible and playing, tap outside the 64x64px central button
2. Assert: the overlay dismisses
3. Assert: playback continues (still playing)","Tapping outside the 64x64px central button dismisses the overlay while the Live stream keeps playing — the dismiss is not an implicit pause.","P1","play_state: playing
tap_target: outside the 64x64px central button","cannot automated","QA (manual — live-broadcast)"
"PDT-3418/UC1b","[EC-UC1b-005] [Live player] Verify tap-outside never pauses the stream","- overlay visible
- 'Live' stream playing","1. Tap outside the central button
2. Assert: playback state does NOT change to paused","A tap-outside that transitions playing → paused is a failure — dismissing the overlay must never pause the stream (BR-10).","P1","play_state: playing
tap_target: outside button","cannot automated","QA (manual — live-broadcast)"
"PDT-3418/UC1b","[EC-UC1b-006] [Live player] Verify the overlay auto-dismisses after 1s of no interaction while playing","- the controls overlay is visible
- the 'Live' stream is playing","1. Reveal the overlay while playing
2. Wait 999ms — assert: overlay still visible
3. Wait to 1000ms with no interaction
4. Assert: the overlay auto-dismisses and playback continues","After exactly 1s (1000ms) of no interaction while playing, the overlay auto-dismisses and playback continues; at 999ms it is still visible.","P1","play_state: playing
idle_ms: 1000","cannot automated","QA (manual — live-broadcast)"
"PDT-3418/UC1b","[EC-UC1b-007] [Live player] Verify the overlay is still visible at 999ms (lower boundary)","- overlay visible
- playing","1. Reveal the overlay
2. Wait 999ms with no interaction
3. Assert: the overlay is still visible","At 999ms (just before the 1s boundary) the overlay must still be visible — dismissing before 1s is a boundary failure.","P1","play_state: playing
idle_ms: 999","cannot automated","QA (manual — live-broadcast)"
"PDT-3418/UC1b","[EC-UC1b-008] [Live player] Verify the overlay dismisses at 1000ms, not 3000ms (web 3s→1s regression guard)","- overlay visible
- playing
- web","1. Reveal the overlay on web
2. Wait past 1000ms with no interaction
3. Assert: the overlay has dismissed by 1000ms (NOT still visible until 3000ms)","The overlay must dismiss at 1000ms, not 3000ms — web currently uses a 3s timer (VideoPlayerControls.tsx:60-70); any dismiss later than 1s fails the regression guard.","P1","play_state: playing
idle_ms: 1000
legacy_ms: 3000","cannot automated","QA (manual — live-broadcast)"
"PDT-3418/UC1b","[EC-UC1b-009] [Live player] Verify pause on a Live stream — play icon persists, no seek, overlay persists, tap-outside stays paused","- a 'Live' stream is playing
- the controls overlay is visible","1. Tap the central pause button
2. Assert: playback pauses and the play icon persists
3. Assert: no ±10s seek buttons are shown
4. Wait >1s — assert: the paused overlay persists
5. Tap outside the button — assert: overlay dismisses and stream stays paused","On a Live stream the central pause tap pauses playback and the play icon persists; the ±10s seek buttons are never shown; while paused the overlay persists past 1s; a tap-outside dismisses it and the stream stays paused (resume-to-live is UC2).","P1","stream_type: Live
play_state: playing","cannot automated","QA (manual — live-broadcast)"
"PDT-3418/UC1b","[EC-UC1b-010] [Live player] Verify a recorded/video stream DOES show the ±10s buttons (contrast)","- the controls overlay is visible","1. Mock: SDK stream type = recorded / video
2. Reveal the overlay
3. Assert: the ±10s skip buttons ARE present","Contrast: on a recorded / video stream the ±10s skip buttons ARE present — proving the seek gate is stream-type driven, not always-off (TC-UC1b-01c).","P2","stream_type: recorded","wait for automated","QA (manual until automated)"
"PDT-3418/UC1b","[EC-UC1b-011] [Live player] Verify the paused overlay does NOT auto-dismiss on the 1s idle timer","- a 'Live' stream is paused
- overlay visible","1. Pause the Live stream
2. Wait >1s with no interaction
3. Assert: the paused overlay is still visible (did NOT auto-dismiss)","The paused overlay must NOT auto-dismiss on the 1s idle timer — a paused overlay that vanishes after 1s is a BR-11 failure.","P1","stream_type: Live
play_state: paused
idle_ms: 1000","cannot automated","QA (manual — live-broadcast)"
"PDT-3418/UC1b","[EC-UC1b-012] [Live player] Verify tap-outside while paused never resumes the stream","- a 'Live' stream is paused
- overlay visible","1. With the Live stream paused, tap outside the central button
2. Assert: the overlay dismisses AND the stream stays paused (no resume)","A tap-outside while paused must never resume the stream — resume is out of scope here (UC2).","P1","stream_type: Live
play_state: paused
tap_target: outside button","cannot automated","QA (manual — live-broadcast)"
"PDT-3418/UC1b","[EC-UC1b-013] [Live player] Verify reveal/dismiss/auto-dismiss/pause are identical across surfaces","- a 'Live' stream renders on an in-scope surface","1. Run reveal, tap-outside-dismiss, 1s auto-dismiss, and pause on the inline-feed surface
2. Repeat on the fullscreen/gallery surface
3. Assert: the outcomes are identical across both surfaces","The reveal / tap-outside-dismiss / 1s auto-dismiss / pause behaviours produce identical outcomes on the inline-feed and fullscreen/gallery surfaces (surface-invariant).","P2","surfaces: inline-feed, fullscreen/gallery","cannot automated","QA (manual — live-broadcast)"
"PDT-3418/UC1b","[EC-UC1b-014] [Live player] Verify a per-surface behaviour difference is a surface-invariance break","- a 'Live' stream renders on ≥2 in-scope surfaces","1. Compare reveal/dismiss/auto-dismiss/pause outcomes across surfaces
2. Assert: no surface produces a different outcome","Any surface producing a DIFFERENT reveal, dismiss, auto-dismiss, or pause outcome than another in-scope surface is a surface-invariance break (BR-06 violation).","P2","surfaces: inline-feed, fullscreen/gallery","cannot automated","QA (manual — live-broadcast)"
